longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37728952,31.96335968,41.699,21.458,-1.541,41.699,19.072,-0.312,-0.615,1.302,-1.231,-0.425,-0.007,0.061,0.171,10.370,-0.632,0.092,-1.137,4
117.37728908,31.96335861,41.698,21.340,-1.583,41.698,19.172,-0.388,-0.608,1.299,-1.227,-0.425,-0.008,0.009,-0.172,9.401,-0.557,0.066,-1.037,4
117.37728861,31.96335754,41.701,21.221,-1.627,41.701,19.290,-0.360,-0.591,1.301,-1.228,-0.429,-0.007,0.111,0.147,9.682,0.654,0.223,-1.326,4
117.37728814,31.96335648,41.702,21.104,-1.672,41.702,19.419,-0.304,-0.581,1.305,-1.231,-0.433,-0.007,-0.084,0.102,10.207,-0.183,-0.173,-1.212,4
117.37728765,31.96335541,41.699,20.985,-1.717,41.699,19.530,-0.332,-0.609,1.314,-1.239,-0.439,-0.008,0.081,0.040,9.757,-0.332,-0.285,-1.099,4
117.37728717,31.96335434,41.698,20.867,-1.763,41.698,19.648,-0.316,-0.637,1.312,-1.236,-0.441,-0.009,0.012,0.070,9.535,0.503,-0.101,-1.437,4
117.37728669,31.96335326,41.698,20.747,-1.808,41.698,19.782,-0.208,-0.652,1.313,-1.236,-0.444,-0.008,0.186,0.106,10.117,0.879,-0.078,-1.325,4
117.37728621,31.96335220,41.698,20.629,-1.853,41.698,19.896,-0.204,-0.652,1.310,-1.232,-0.445,-0.008,-0.067,0.019,10.000,-0.844,-0.107,-1.062,4
117.37728571,31.96335113,41.698,20.511,-1.901,41.698,20.004,-0.268,-0.671,1.317,-1.238,-0.450,-0.010,0.070,0.036,9.388,-0.045,-0.148,-1.150,4
117.37728521,31.96335006,41.698,20.392,-1.948,41.698,20.130,-0.224,-0.669,1.316,-1.236,-0.452,-0.009,-0.033,0.128,9.874,0.391,0.275,-1.426,4
117.37728471,31.96334898,41.694,20.273,-1.996,41.694,20.266,-0.191,-0.653,1.319,-1.238,-0.456,-0.008,0.056,0.096,10.195,-0.245,0.003,-1.250,4
117.37728422,31.96334793,41.690,20.156,-2.042,41.690,20.379,-0.240,-0.672,1.316,-1.234,-0.458,-0.009,-0.074,0.096,9.473,-0.744,-0.283,-1.061,4
117.37728372,31.96334687,41.688,20.039,-2.090,41.688,20.498,-0.250,-0.689,1.320,-1.237,-0.462,-0.010,0.033,0.022,9.731,0.304,-0.050,-1.325,4
117.37728322,31.96334583,41.688,19.923,-2.137,41.688,20.638,-0.183,-0.679,1.311,-1.227,-0.461,-0.009,0.038,0.119,9.938,0.404,0.112,-1.313,4
117.37728272,31.96334479,41.687,19.807,-2.184,41.687,20.767,-0.165,-0.679,1.312,-1.227,-0.464,-0.009,0.034,0.163,10.087,-0.645,-0.058,-1.212,4
117.37728221,31.96334374,41.687,19.691,-2.232,41.687,20.882,-0.230,-0.699,1.315,-1.229,-0.468,-0.010,0.010,0.062,9.463,-0.320,-0.222,-1.149,4
117.37728169,31.96334269,41.689,19.574,-2.281,41.689,21.011,-0.179,-0.728,1.321,-1.233,-0.473,-0.010,0.049,0.042,9.844,0.704,-0.252,-1.400,4
117.37728119,31.96334165,41.690,19.459,-2.329,41.690,21.155,-0.124,-0.756,1.312,-1.224,-0.473,-0.010,0.015,0.203,10.332,-0.308,-0.284,-1.324,4
117.37728069,31.96334060,41.689,19.343,-2.376,41.689,21.280,-0.191,-0.760,1.309,-1.220,-0.474,-0.011,0.160,-0.068,9.622,-0.857,0.206,-1.125,4
117.37728016,31.96333958,41.691,19.230,-2.426,41.691,21.392,-0.208,-0.732,1.298,-1.209,-0.473,-0.010,0.049,0.110,9.774,0.280,0.250,-1.163,4
117.37727962,31.96333855,41.694,19.116,-2.477,41.694,21.506,-0.160,-0.726,1.305,-1.214,-0.478,-0.010,-0.069,0.077,10.087,0.143,-0.049,-1.100,4
117.37727910,31.96333753,41.696,19.003,-2.526,41.696,21.625,-0.168,-0.737,1.307,-1.215,-0.481,-0.011,-0.005,0.084,9.802,-0.669,-0.170,-1.074,4
117.37727857,31.96333650,41.699,18.888,-2.576,41.699,21.748,-0.206,-0.764,1.309,-1.216,-0.484,-0.011,0.002,0.040,9.533,0.067,-0.286,-1.262,4
117.37727807,31.96333547,41.702,18.775,-2.624,41.702,21.875,-0.158,-0.789,1.299,-1.206,-0.483,-0.012,0.136,0.129,9.924,0.405,-0.251,-1.175,4
117.37727756,31.96333445,41.702,18.661,-2.671,41.702,21.993,-0.136,-0.807,1.297,-1.203,-0.485,-0.012,0.048,0.062,10.143,-0.457,0.016,-1.162,4
117.37727705,31.96333344,41.702,18.549,-2.720,41.702,22.117,-0.182,-0.811,1.293,-1.198,-0.486,-0.012,0.055,0.121,9.664,-0.595,-0.196,-1.162,4
117.37727652,31.96333243,41.703,18.437,-2.770,41.703,22.242,-0.202,-0.825,1.294,-1.198,-0.489,-0.013,0.097,0.107,9.656,-0.221,0.015,-1.287,4
117.37727601,31.96333143,41.704,18.327,-2.818,41.704,22.368,-0.197,-0.801,1.283,-1.187,-0.488,-0.012,0.076,0.002,10.090,-0.170,0.177,-1.150,4
117.37727550,31.96333043,41.702,18.215,-2.866,41.702,22.481,-0.226,-0.808,1.285,-1.188,-0.491,-0.012,0.127,0.090,9.824,-0.569,-0.233,-1.099,4
117.37727500,31.96332943,41.703,18.105,-2.913,41.703,22.601,-0.254,-0.805,1.282,-1.184,-0.492,-0.012,0.040,0.105,9.607,-0.333,0.316,-1.238,4
117.37727449,31.96332843,41.706,17.994,-2.962,41.706,22.725,-0.249,-0.787,1.281,-1.182,-0.494,-0.011,0.108,0.038,10.060,-0.070,0.064,-1.200,4
